target,rho,p_spin,n_parcels,p_fdr
discordance_extraction,0.07884566771226655,0.632936706329367,83,0.765823417658234
discordance_overshoot,-0.09415922221178212,0.6098390160983902,83,0.765823417658234
coupling_angle,-0.039544939339238486,0.7658234176582341,83,0.765823417658234
baseline_oef,0.08083203895722262,0.6863313668633136,83,0.765823417658234
our_human_cbv,-0.08717098358591159,0.7099290070992901,83,0.765823417658234
principal_gradient,-0.3327106334746652,0.13068693130686931,83,0.765823417658234
