gene_set,target,rho_median,rho_q1,rho_q3,pct_consistent_sign,pct_spin_sig,n_cells,stable_sign,p_competitive,z_competitive
GOBP_BLOOD_VESSEL_MORPHOGENESIS,baseline_oef,-0.04247224722472247,-0.06091527520098948,-0.020969249986223112,0.9375,0.0,96,True,0.8789121087891211,-0.20597475660946188
GOBP_BLOOD_VESSEL_MORPHOGENESIS,coupling_angle,0.006336633663366335,-0.013618361836183618,0.016206334919206207,0.5729166666666666,0.0,96,False,0.9798020197980202,0.018965588585078623
GOBP_BLOOD_VESSEL_MORPHOGENESIS,discordance_extraction,0.06312709069922769,0.044820451175655786,0.08757775914125814,1.0,0.0,96,True,0.6496350364963503,0.4309896221288269
GOBP_BLOOD_VESSEL_MORPHOGENESIS,discordance_overshoot,-0.11309418260879207,-0.13582819570275645,-0.08625876046539452,1.0,0.0,96,True,0.5181481851814819,-0.6151630021732074
GOBP_BLOOD_VESSEL_MORPHOGENESIS,macaque_vascular_CONTROL,0.4047844494509202,0.3694207725209782,0.43685504697846744,1.0,0.7291666666666666,96,True,0.18118188181181882,1.23110346588313
HALLMARK_ANGIOGENESIS,baseline_oef,-0.36965980271496535,-0.4227692769276927,-0.30959508195717533,1.0,0.4791666666666667,288,True,0.00019998000199980003,-3.9759849153100664
HALLMARK_ANGIOGENESIS,coupling_angle,-0.008600880496212885,-0.04626909629738484,0.029161018142630585,0.5833333333333334,0.0,288,False,0.9788021197880212,-0.1209316660047472
HALLMARK_ANGIOGENESIS,discordance_extraction,0.09313967108595711,0.020833745080987853,0.14224006199226957,0.8506944444444444,0.0,288,True,0.6459354064593541,0.3131902907476791
HALLMARK_ANGIOGENESIS,discordance_overshoot,0.03092532905661665,-0.013739052829158393,0.07330066336751352,0.6770833333333334,0.0,288,False,0.8866113388661134,0.2855347437732052
HALLMARK_ANGIOGENESIS,macaque_vascular_CONTROL,-0.009707820830359766,-0.0519517092761289,0.051550374941500415,0.5625,0.0,288,False,0.8713128687131287,-0.5302798635174697
HALLMARK_GLYCOLYSIS,baseline_oef,-0.06671467146714671,-0.09544762639529258,-0.04283828382838283,0.9756944444444444,0.0,288,True,0.6679332066793321,-1.535600018158489
HALLMARK_GLYCOLYSIS,coupling_angle,-0.04598859885988599,-0.08815218256519529,-0.009643637833171072,0.7777777777777778,0.0,288,False,0.8636136386361364,-0.6095857018534476
HALLMARK_GLYCOLYSIS,discordance_extraction,-0.03380980938541028,-0.08065604659550955,0.009851442800309926,0.6979166666666666,0.0,288,False,0.9697030296970303,-0.562795630620876
HALLMARK_GLYCOLYSIS,discordance_overshoot,0.07373833723926781,0.029804231035180866,0.1630047681385214,0.9097222222222222,0.0,288,True,0.40975902409759024,1.3910486531783708
HALLMARK_GLYCOLYSIS,macaque_vascular_CONTROL,-0.27292911483331705,-0.3107791211302819,-0.1653425548885437,1.0,0.0,288,True,0.5023497650234976,-2.6802568496755286
HALLMARK_HYPOXIA,baseline_oef,-0.21883588358835881,-0.25567843519045785,-0.17015831174954227,1.0,0.0,288,True,0.12708729127087293,-2.5782807309897344
HALLMARK_HYPOXIA,coupling_angle,-0.11946815089672232,-0.1614101410141014,-0.07783549783549783,0.9895833333333334,0.010416666666666666,288,True,0.044995500449955005,-2.420613950211861
HALLMARK_HYPOXIA,discordance_extraction,0.14762453261376185,0.10384637023749867,0.20286186537346074,0.9930555555555556,0.013888888888888888,288,True,0.24707529247075294,0.843818403056639
HALLMARK_HYPOXIA,discordance_overshoot,-0.01495258357044646,-0.06360241449562035,0.02540664220208651,0.6006944444444444,0.0,288,False,0.9852014798520148,0.2979149190449806
HALLMARK_HYPOXIA,macaque_vascular_CONTROL,0.049630578061374414,-0.007352483880547353,0.10801510338683422,0.7152777777777778,0.0,288,False,0.8616138386161384,-0.7070656400107339
HALLMARK_OXIDATIVE_PHOSPHORYLATION,baseline_oef,-0.2092769276927693,-0.24347946019091704,-0.17788172694820503,1.0,0.0,288,True,0.10728927107289271,-3.7986062941521053
HALLMARK_OXIDATIVE_PHOSPHORYLATION,coupling_angle,-0.03261926192619262,-0.06879387938793878,-0.00471243042671614,0.7951388888888888,0.0,288,False,0.43555644435556445,0.32510356360365805
