name,n_genes,rho,p_competitive,null_mean,null_sd,z_competitive,n_draws,mean_stability,target
endothelial,6,0.15991353773391276,0.31896810318968105,0.009550882380697326,0.15286201906817523,0.9836495440123351,10000,0.1617868224342171,discordance_extraction
endothelial,6,-0.151353726403951,0.31196880311968805,-0.01701924605087961,0.14009317312491712,-0.9588938372699227,10000,0.1617868224342171,discordance_overshoot
endothelial,6,0.026330633063306328,0.7767223277672233,-0.0007277515751575157,0.0938984119813612,0.288166584157301,10000,0.1617868224342171,coupling_angle
endothelial,6,-0.01750975097509751,0.8824117588241176,0.008901891389138914,0.11464696146547013,-0.23037367956926794,10000,0.1617868224342171,baseline_oef
endothelial,6,0.38598295621510426,0.09209079092090791,0.06474384366735232,0.22660767983754604,1.4176002895314348,10000,0.1617868224342171,macaque_vascular_CONTROL
pericyte_mural,4,0.18475634534213164,0.2683731626837316,0.010338774310878348,0.15729623854862118,1.1088476917223917,10000,0.17079326839065995,discordance_extraction
pericyte_mural,4,0.017588635243459973,0.9175082491750824,-0.012387808183075721,0.14591866388210628,0.20543255145726186,10000,0.17079326839065995,discordance_overshoot
pericyte_mural,4,-0.025718571857185714,0.7778222177782221,-0.001907291929192919,0.09396409368325323,-0.25340828602315957,10000,0.17079326839065995,coupling_angle
pericyte_mural,4,-0.40374437443744376,0.00039996000399960006,-0.00190272907290729,0.11508941654318526,-3.491560366141508,10000,0.17079326839065995,baseline_oef
pericyte_mural,4,-0.1544855379706981,0.607039296070393,0.03997114730699802,0.24355074588767553,-0.7984236901798636,10000,0.17079326839065995,macaque_vascular_CONTROL
astrocyte,4,-0.26788466450209464,0.07029297070292971,0.009943133943539266,0.1517096508389928,-1.8313126219009521,10000,0.15320598374774713,discordance_extraction
astrocyte,4,0.3385827327673642,0.006999300069993001,-0.014909145965147204,0.1403607612372762,2.5184522769504123,10000,0.15320598374774713,discordance_overshoot
astrocyte,4,-0.09669366936693669,0.3070692930706929,-0.0010675739573957396,0.09449792328428047,-1.0119385917282708,10000,0.15320598374774713,coupling_angle
astrocyte,4,-0.09533753375337534,0.41345865413458655,0.009960308430843084,0.11606476661563582,-0.9072334805352814,10000,0.15320598374774713,baseline_oef
astrocyte,4,-0.32444061962134246,0.17248275172482752,0.06065565467444692,0.22254095588449155,-1.730451245548128,10000,0.15320598374774713,macaque_vascular_CONTROL
glucose_lactate_transport,5,0.2760753285415292,0.059994000599940006,0.013168435093172056,0.1516325111069578,1.7338425086352964,10000,0.16715117205311683,discordance_extraction
glucose_lactate_transport,5,-0.2250478816645238,0.1044895510448955,-0.00860363226501288,0.13898585744054692,-1.5573113220681312,10000,0.16715117205311683,discordance_overshoot
glucose_lactate_transport,5,0.025814581458145816,0.7758224177582241,0.0028705706570657063,0.09178385803024292,0.24997871405144056,10000,0.16715117205311683,coupling_angle
glucose_lactate_transport,5,-0.041140114011401135,0.7252274772522748,0.007077225322532251,0.11669284322118344,-0.41319877040394554,10000,0.16715117205311683,baseline_oef
glucose_lactate_transport,5,0.36169766172704754,0.147985201479852,0.0316913857520675,0.2446928276306032,1.3486552882259752,10000,0.16715117205311683,macaque_vascular_CONTROL
glycolytic_enzymes,6,0.012144570192196147,0.9458054194580542,0.011450699381991674,0.1505033173013531,0.004610335656689435,10000,0.13833968971703947,discordance_extraction
glycolytic_enzymes,6,0.01935171089393338,0.8983101689831017,-0.0173968794049742,0.13935066303798999,0.2637130638473469,10000,0.13833968971703947,discordance_overshoot
glycolytic_enzymes,6,-0.00792079207920792,0.924907509249075,0.0019647476747674765,0.09015623700751588,-0.10964898360998902,10000,0.13833968971703947,coupling_angle
glycolytic_enzymes,6,-0.01594959495949595,0.8861113888611138,0.011822294629462946,0.11362485182430343,-0.2444173888288294,10000,0.13833968971703947,baseline_oef
glycolytic_enzymes,6,-0.07524873011208597,0.8049195080491951,0.04674375550984425,0.23697536124950297,-0.5147897442953516,10000,0.13833968971703947,macaque_vascular_CONTROL
