link,rho_vs_dropout,abs_rho,p_spin,n_valid,breaches_gate,p_fdr
5_baseline_cmro2,-0.3149711666486959,0.3149711666486959,0.029797020297970205,100,False,0.26817318268173185
2_baseline_cbv,0.22927505449357719,0.22927505449357719,0.17198280171982802,100,False,0.5131736826317368
3_baseline_oef,-0.19657719614099392,0.19657719614099392,0.1967803219678032,100,False,0.5131736826317368
8_discordance_extraction,0.16310306950720918,0.16310306950720918,0.22807719228077192,100,False,0.5131736826317368
9_discordance_overshoot,-0.12160025301847296,0.12160025301847296,0.42475752424757524,100,False,0.7645635436456354
7_delta_cmro2,0.06339748091301933,0.06339748091301933,0.5906409359064093,100,False,0.8859614038596139
6_delta_cbf,-0.02531698740861605,0.02531698740861605,0.8332166783321668,100,False,0.992000799920008
10_coupling_angle,0.002988352626094049,0.002988352626094049,0.9802019798020198,100,False,0.992000799920008
4_baseline_cbf,0.0013801628594410267,0.0013801628594410267,0.992000799920008,100,False,0.992000799920008
