network,mean_resid,mean_abs,n
Vis,-0.7720383914010801,1.2768327242402477,14
SomMot,-0.7166718561203136,1.1237241490224856,16
SalVentAttn,-0.4314596837725151,0.5889267216456958,11
DorsAttn,-0.18120822204482948,0.8154369992017327,13
Cont,0.05329653589553811,1.2471389399555908,13
Default,0.5145089659693333,1.4203526816160899,27
Limbic,2.465408922967766,2.476956505745132,6
