cell,stability_threshold,gene_set,n_genes,target,rho,p_spin,direction_h1,probe_selection,lr_mirror,missing,p_fdr
01e98e73f708,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,baseline_oef,-0.157847866419295,0.42075792420757924,negative,diff_stability,,,0.9573442655734427
01e98e73f708,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,macaque_vascular_CONTROL,0.09376258421218751,0.5882411758824118,negative,diff_stability,,,0.7189614371896144
01e98e73f708,0.0,HALLMARK_ANGIOGENESIS,26,discordance_extraction,0.07929103814091953,0.5841415858414158,positive,diff_stability,,,0.8449355064493551
01e98e73f708,0.0,HALLMARK_ANGIOGENESIS,26,discordance_overshoot,-0.02911458189709548,0.8674132586741325,positive,diff_stability,,,0.9255074492550744
01e98e73f708,0.0,HALLMARK_ANGIOGENESIS,26,coupling_angle,0.0046876932591218305,0.9708029197080292,positive,diff_stability,,,0.9708029197080292
01e98e73f708,0.0,HALLMARK_ANGIOGENESIS,26,baseline_oef,-0.3904019789734075,0.0408959104089591,positive,diff_stability,,,0.22492750724927507
01e98e73f708,0.0,HALLMARK_ANGIOGENESIS,26,macaque_vascular_CONTROL,-0.038843721770551044,0.8183181681831817,positive,diff_stability,,,0.8183181681831816
01e98e73f708,0.0,HALLMARK_HYPOXIA,171,discordance_extraction,0.13884614986096877,0.3427657234276572,positive,diff_stability,,,0.8449355064493551
01e98e73f708,0.0,HALLMARK_HYPOXIA,171,discordance_overshoot,-0.05115360725647297,0.7664233576642335,positive,diff_stability,,,0.9255074492550744
01e98e73f708,0.0,HALLMARK_HYPOXIA,171,coupling_angle,-0.07527520098948672,0.5473452654734526,positive,diff_stability,,,0.9708029197080292
01e98e73f708,0.0,HALLMARK_HYPOXIA,171,baseline_oef,-0.2089548546691404,0.2763723627637236,positive,diff_stability,,,0.9573442655734427
01e98e73f708,0.0,HALLMARK_HYPOXIA,171,macaque_vascular_CONTROL,0.0454174421262285,0.7888211178882112,positive,diff_stability,,,0.8183181681831816
01e98e73f708,0.0,GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,discordance_extraction,0.04881261500070687,0.73002699730027,positive,diff_stability,,,0.8449355064493551
01e98e73f708,0.0,GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,discordance_overshoot,-0.10093055057659765,0.5355464453554645,positive,diff_stability,,,0.9255074492550744
01e98e73f708,0.0,GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,coupling_angle,0.023809523809523808,0.8562143785621438,positive,diff_stability,,,0.9708029197080292
01e98e73f708,0.0,GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,baseline_oef,-0.04921459492888064,0.801919808019198,positive,diff_stability,,,0.9573442655734427
01e98e73f708,0.0,GOBP_BLOOD_VESSEL_MORPHOGENESIS,4,macaque_vascular_CONTROL,0.36596249496631517,0.05469453054694531,positive,diff_stability,,,0.3008199180081992
01e98e73f708,0.1,endothelial,5,discordance_extraction,0.1163315637805919,0.42305769423057693,negative,diff_stability,,,0.7050961570509616
01e98e73f708,0.1,endothelial,5,discordance_overshoot,-0.13852835889227177,0.39216078392160786,negative,diff_stability,,,0.9417629665604869
01e98e73f708,0.1,endothelial,5,coupling_angle,0.06693877551020408,0.597040295970403,negative,diff_stability,,,0.901109889011099
01e98e73f708,0.1,endothelial,5,baseline_oef,-0.006023500309214595,0.9768023197680232,negative,diff_stability,,,0.9768023197680232
01e98e73f708,0.1,endothelial,5,macaque_vascular_CONTROL,0.4391876448884971,0.018598140185981403,negative,diff_stability,,,0.18598140185981404
01e98e73f708,0.1,pericyte_mural,3,discordance_extraction,0.15733540085424794,0.28157184281571845,negative,diff_stability,,,0.7050961570509616
01e98e73f708,0.1,pericyte_mural,3,discordance_overshoot,0.01197449577066909,0.9439056094390561,negative,diff_stability,,,0.9439056094390562
01e98e73f708,0.1,pericyte_mural,3,coupling_angle,-0.02999381570810142,0.8165183481651834,negative,diff_stability,,,0.901109889011099
01e98e73f708,0.1,pericyte_mural,3,baseline_oef,-0.3922820037105751,0.0403959604039596,negative,diff_stability,,,0.21897810218978103
01e98e73f708,0.1,pericyte_mural,3,macaque_vascular_CONTROL,-0.0817035077981302,0.6353364663533647,negative,diff_stability,,,0.8075442455754425
01e98e73f708,0.1,astrocyte,3,discordance_extraction,-0.26663348237171386,0.06819318068193181,,diff_stability,,,0.6819318068193181
01e98e73f708,0.1,astrocyte,3,discordance_overshoot,0.31125007339276173,0.043695630436956304,,diff_stability,,,0.436956304369563
01e98e73f708,0.1,astrocyte,3,coupling_angle,-0.0742486085343228,0.5537446255374463,,diff_stability,,,0.901109889011099
01e98e73f708,0.1,astrocyte,3,baseline_oef,-0.12561533704390848,0.5271472852714728,,diff_stability,,,0.8875362463753624
01e98e73f708,0.1,astrocyte,3,macaque_vascular_CONTROL,-0.19321731369924142,0.2693730626937306,,diff_stability,,,0.6734326567343265
