gene_set,mediator,outcome,adjusted,a_median,b_median,indirect_median,indirect_q1,indirect_q3,pct_consistent_sign,pct_indirect_sig,pct_a_sig,pct_b_sig,limiting_path,n_cells,stable_sign,supported
endothelial,baseline_oef,discordance_extraction,False,-0.02484156578923199,-0.2849266131434121,0.007079979222409912,0.0013928407661641894,0.011785529251416828,0.7833333333333333,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_oef,discordance_extraction,True,-0.019232562727239798,-0.2409496115901616,0.004622731160560514,-0.0014706181029601998,0.01003383854835323,0.6666666666666666,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_oef,discordance_overshoot,False,-0.02484156578923199,0.10477490836301918,-0.0026191684646823792,-0.004314913409016975,-0.0005186902308235724,0.7833333333333333,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_oef,discordance_overshoot,True,-0.019232562727239798,0.03971014620867837,-0.0007609378305042701,-0.0017674248702802236,0.00024092573949200546,0.6666666666666666,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_oef,coupling_angle,False,-0.02484156578923199,0.14333289818863917,-0.003540170823370037,-0.005995452583865553,-0.0006964825018527675,0.7833333333333333,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_oef,coupling_angle,True,-0.019232562727239798,0.12935806531052402,-0.002489097892392021,-0.005343441059141836,0.0007982731213535793,0.6666666666666666,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_cbv,discordance_extraction,False,0.03766307242969194,0.21325938435152958,0.008094656713624044,0.0029656037896799805,0.013010938202992333,0.8166666666666667,0.0,0.0,0.0,a,120,True,False
endothelial,baseline_cbv,discordance_extraction,True,0.018127605549696224,0.2507539371475755,0.004552975908338972,-0.003533181871284918,0.012082861299260849,0.625,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_cbv,discordance_overshoot,False,0.03766307242969194,-0.19636434980489692,-0.007390054020153197,-0.011988731450583053,-0.002764621875628898,0.8166666666666667,0.0,0.0,0.0,a,120,True,False
endothelial,baseline_cbv,discordance_overshoot,True,0.018127605549696224,-0.2465263603586559,-0.004400288690763546,-0.011819726289999206,0.003411216851953204,0.625,0.0,0.0,0.0,a,120,False,False
endothelial,baseline_cbv,coupling_angle,False,0.03766307242969194,-0.13600744998780698,-0.005534137006282095,-0.0087348793485981,-0.001871876125965654,0.8166666666666667,0.0,0.0,0.0,a,120,True,False
endothelial,baseline_cbv,coupling_angle,True,0.018127605549696224,-0.15674424605104761,-0.0029004797069348033,-0.007474490864916487,0.002212774809046379,0.625,0.0,0.0,0.0,a,120,False,False
pericyte_mural,baseline_oef,discordance_extraction,False,-0.375055505550555,-0.2734160179047074,0.10093178107970485,0.09330415701445623,0.10630069044299499,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_oef,discordance_extraction,True,-0.4079619034725398,-0.21735166521377913,0.0858205444588448,0.07775154672290616,0.09060239927543878,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_oef,discordance_overshoot,False,-0.375055505550555,0.12794886757289825,-0.049035510699440406,-0.05619201932139013,-0.04085743894415825,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_oef,discordance_overshoot,True,-0.4079619034725398,0.05730786287070069,-0.021510203033919637,-0.03328452829439854,-0.01767607229556414,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_oef,coupling_angle,False,-0.375055505550555,0.15680354823087456,-0.05629131977858349,-0.06496484480470226,-0.051894303729797815,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_oef,coupling_angle,True,-0.4079619034725398,0.14098885370064027,-0.05194171375748767,-0.0622512070069015,-0.04880285388243226,1.0,0.0,0.8833333333333333,0.0,b,120,True,False
pericyte_mural,baseline_cbv,discordance_extraction,False,-0.00022802280228021346,0.21827893208801968,-4.90987479120009e-05,-0.009071108131991216,0.00726652181719758,0.5,0.0,0.0,0.0,a,120,False,False
