name,tail,n_in_set,n_overlap,observed,null_mean,null_sd,z,p,n_draws,cell,target,primary
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.05,0.041949000000000014,0.019810890918886007,0.40639262681138966,0.41315868413158685,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.01,0.047384000000000016,0.020960833571210855,-1.7835168564739687,0.9937006299370063,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_ANGIOGENESIS,positive,36,14,0.0,0.06069999999999999,0.06451704251986605,-0.9408366786389701,1.0,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.05219999999999999,0.05913195896829878,-0.8827713627411687,1.0,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_HYPOXIA,positive,200,101,0.04950495049504951,0.0516821782178218,0.021596290508989084,-0.10081489327373405,0.6128387161283871,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_HYPOXIA,negative,200,101,0.04950495049504951,0.053399009900990106,0.02210874707853454,-0.17613207080926602,0.6335366463353664,10000,c1509b5525b6,discordance_overshoot,True
endothelial,positive,6,5,0.0,0.04564000000000001,0.09353603797467584,-0.48794027401884055,1.0,10000,c1509b5525b6,coupling_angle,True
endothelial,negative,6,5,0.0,0.05206,0.09861924964224784,-0.5278888268654788,1.0,10000,c1509b5525b6,coupling_angle,True
pericyte_mural,positive,5,3,0.0,0.046066666666666665,0.12060070020065758,-0.3819767761714495,1.0,10000,c1509b5525b6,coupling_angle,True
pericyte_mural,negative,5,3,0.0,0.05443333333333333,0.1322594714104732,-0.41156472767380897,1.0,10000,c1509b5525b6,coupling_angle,True
astrocyte,positive,4,3,0.0,0.05806666666666666,0.13484738698906173,-0.4306102473559743,1.0,10000,c1509b5525b6,coupling_angle,True
astrocyte,negative,4,3,0.0,0.06326666666666667,0.1405449552436673,-0.4501525263356427,1.0,10000,c1509b5525b6,coupling_angle,True
glucose_lactate_transport,positive,5,3,0.0,0.057033333333333325,0.13334366209993717,-0.42771686659234326,1.0,10000,c1509b5525b6,coupling_angle,True
glucose_lactate_transport,negative,5,3,0.0,0.05346666666666666,0.13058494042831534,-0.4094397599853194,1.0,10000,c1509b5525b6,coupling_angle,True
glycolytic_enzymes,positive,6,5,0.0,0.0491,0.09633893293990754,-0.5096589561628906,1.0,10000,c1509b5525b6,coupling_angle,True
glycolytic_enzymes,negative,6,5,0.0,0.05354,0.10056574168174767,-0.5323880588424807,1.0,10000,c1509b5525b6,coupling_angle,True
interneuron_subclass,positive,4,4,0.0,0.046175,0.10409908440999854,-0.443567782192376,1.0,10000,c1509b5525b6,coupling_angle,True
