vs,rho,p_spin,n
discordance_extraction,-0.3062754189288584,0.0316968303169683,100
discordance_overshoot,0.24898010590533926,0.10888911108889111,100
coupling_angle,0.016965427104547102,0.8897110288971103,100
dropout_snr_coverage,-0.28403948969004367,0.032596740325967405,100
