cell,gene_set,n_genes,mediator,outcome,adjusted,probe_selection,lr_mirror,missing,a,a_p,b,b_p,c,c_p,c_prime,c_prime_p,indirect,indirect_p,indirect_p_product,indirect_ci_lo,indirect_ci_hi,proportion_mediated,limiting_path,n_valid,n_perm_exposure,n_perm_outcome,n_boot,method,n_covariates,indirect_p_fdr
01e98e73f708,endothelial,6,baseline_oef,discordance_extraction,False,diff_stability,,,-0.032937538651824375,0.8528147185281472,-0.28328462654664344,0.07269273072692731,0.12369997377053339,0.39766023397660233,0.1143692754341857,0.44915508449155084,0.009330698336347702,0.8528147185281472,0.8544145585441456,-0.044181527641642654,0.07384372672815886,0.07543007530184594,a,99,10000,10000,500,spearman,0,0.9380961903809618
01e98e73f708,endothelial,6,baseline_oef,discordance_extraction,True,diff_stability,,,-0.012139020741014231,0.946005399460054,-0.24096569529450912,0.1376862313768623,-0.06491916656625935,0.657034296570343,-0.0678442541393123,0.6300369963003699,0.0029250875730529617,0.946005399460054,0.946005399460054,-0.051800316983646365,0.05779947923290849,-0.04505738024328284,a,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,endothelial,6,baseline_oef,discordance_overshoot,False,diff_stability,,,-0.032937538651824375,0.8528147185281472,0.10349866684943396,0.5447455254474552,-0.14872931463683453,0.36836316368363164,-0.145320323297069,0.3915608439156084,-0.003408991339765525,0.8528147185281472,0.8545145485451455,-0.03525699591495183,0.02880126072696572,0.022920776230896774,a,99,10000,10000,500,spearman,0,0.9380961903809618
01e98e73f708,endothelial,6,baseline_oef,discordance_overshoot,True,diff_stability,,,-0.012139020741014231,0.946005399460054,0.04034496417445316,0.8182181781821818,0.026124834017172655,0.8534146585341466,0.026614582374081815,0.8700129987001299,-0.000489748356909163,0.946005399460054,0.9341065893410659,-0.023148095805117792,0.028478125516396183,,a,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,endothelial,6,baseline_oef,coupling_angle,False,diff_stability,,,-0.032937538651824375,0.8528147185281472,0.1417234486571933,0.3016698330166983,0.042399505256648096,0.7085291470852915,0.047067526824664245,0.6916308369163083,-0.004668021568016152,0.8528147185281472,0.8496150384961504,-0.04376193674084287,0.0326674115082821,,a,99,10000,10000,500,spearman,0,0.9380961903809618
01e98e73f708,endothelial,6,baseline_oef,coupling_angle,True,diff_stability,,,-0.012139020741014231,0.946005399460054,0.1290990273381705,0.36026397360263973,0.004725459020849142,0.9661033896610339,0.0062925947913519565,0.9528047195280472,-0.0015671357705028149,0.946005399460054,0.9461053894610539,-0.04089131400885126,0.03557708912770548,,a,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,endothelial,6,baseline_cbv,discordance_extraction,False,diff_stability,,,0.01659863945578232,0.9357064293570643,0.22385515223326125,0.17668233176682333,0.12369997377053339,0.39766023397660233,0.11998428280829422,0.42125787421257876,0.003715690962239168,0.9357064293570643,0.9361063893610639,-0.043979042498597645,0.06239111264400382,0.03003792845689579,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,endothelial,6,baseline_cbv,discordance_extraction,True,diff_stability,,,-0.014333592361792467,0.9397060293970603,0.24935400048900863,0.11648835116488351,-0.06491916656625935,0.657034296570343,-0.0613450279694677,0.6658334166583342,-0.0035741385967916492,0.9397060293970603,0.9396060393960604,-0.05105780563547196,0.047565724902448585,0.055055213827240476,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,endothelial,6,baseline_cbv,discordance_overshoot,False,diff_stability,,,0.01659863945578232,0.9357064293570643,-0.19936670991284558,0.2830716928307169,-0.14872931463683453,0.36836316368363164,-0.14542009849950566,0.38346165383461656,-0.003309216137328867,0.9357064293570643,0.9361063893610639,-0.049954034621894315,0.043052852351497556,0.022249925278074945,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,endothelial,6,baseline_cbv,discordance_overshoot,True,diff_stability,,,-0.014333592361792467,0.9397060293970603,-0.23777336302352878,0.17868213178682132,0.026124834017172655,0.8534146585341466,0.022716687557100892,0.8883111688831117,0.0034081464600717593,0.9397060293970603,0.9397060293970603,-0.03822348617285475,0.05090678350345309,,a,99,10000,10000,500,spearman,3,0.9935006499350064
