name,var_observed,var_error,var_true,signal_fraction,attenuation_ceiling,detectable_true_rho,cv,n_subjects,n_parcels,split_half_reliability
baseline OEF,0.06522261519403606,0.0006993516939440959,0.06452326350009197,0.9892774662306388,0.9946242839538149,0.24621263799422402,0.5172424284117934,40,100,0.9781151697238419
coupling angle,0.2119633336841484,0.07145019135710196,0.14051314232704645,0.6629124947450978,0.8141943838820664,0.30077469657523004,4.437681378496658,40,100,0.7105135837439973
baseline CMRO2,4546.708755207625,72.5276350684426,4474.181120139182,0.9840483217700338,0.9919920976348722,0.24686594716757768,0.4286977636603277,40,100,0.9835780613784071
baseline CBF,28.974349119714965,1.0290282759145133,27.945320843800452,0.964484852734299,0.9820818971625019,0.2493570744689777,0.1623768963555464,40,100,0.9839994391021607
baseline CBV,1.0612615219942352,0.014382396319637582,1.0468791256745975,0.9864478302269817,0.9932008005569577,0.24656551689050024,0.20641750035698314,40,100,0.9776606741270062
discordance (total),0.01106761301376686,0.005226551956815115,0.005841061056951744,0.5277615913825433,0.7264720169301384,0.33709360176076103,0.15299076042785467,40,100,0.4909847661046537
discordance (extraction),0.012354734848484846,0.005610096153846155,0.006744638694638691,0.5459152929911594,0.7388608075890609,0.3314414112239489,0.3068374186431541,40,100,0.5788767531719086
discordance (overshoot),0.013554229797979798,0.005283173076923078,0.00827105672105672,0.6102196026136053,0.7811655411073924,0.3134918988083196,0.35794814569897665,40,100,0.5953006671067591
