parcellation,parcel_index,parcel_name,hemisphere,baseline_oef,baseline_cbf,baseline_cmro2,coupling_n_angle,discordance_risk,discordance_risk_extraction,discordance_risk_overshoot,discordance_risk_n,dropout_snr_coverage,venous_partial_volume,map_reliability_coupling,n_subjects_coupling,baseline_source,coupling_source,ahba_n_samples
schaefer200x7,20,7Networks_LH_SomMot_6,L,0.3808620274066925,45.241790771484375,132.5227508544922,0.4548622156715172,0.825,0.5,0.325,40,0.6705882549285889,0.0090969819575548,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,13
schaefer200x7,21,7Networks_LH_SomMot_7,L,0.3498394787311554,47.783817291259766,128.84507751464844,0.384891674526109,0.65,0.475,0.175,40,0.5319148898124695,0.0126583678647875,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,22,7Networks_LH_SomMot_8,L,0.3715547919273376,43.48439025878906,118.0139617919922,0.1426846834296712,0.775,0.525,0.25,40,0.7362637519836426,0.0177532602101564,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,9
schaefer200x7,23,7Networks_LH_SomMot_9,L,0.3546602725982666,47.3893928527832,130.1973114013672,0.1018778390524782,0.775,0.55,0.225,40,0.2926829159259796,0.0027287306729704,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,9
schaefer200x7,24,7Networks_LH_SomMot_10,L,0.3627227544784546,50.89323043823242,141.78945922851562,0.1216572009275383,0.85,0.55,0.3,40,0.7250000238418579,0.011993421241641,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,19
schaefer200x7,25,7Networks_LH_SomMot_11,L,0.3497244715690613,43.39127731323242,117.9177017211914,-0.0044861747872521,0.75,0.325,0.425,40,0.6415094137191772,0.0019513720180839,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,3
schaefer200x7,26,7Networks_LH_SomMot_12,L,0.3464705646038055,43.191402435302734,109.85057830810548,0.2923917024556248,0.725,0.525,0.2,40,0.5454545617103577,0.0099772522225975,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,18
schaefer200x7,27,7Networks_LH_SomMot_13,L,0.3381078839302063,43.78727722167969,108.11990356445312,-0.0520141271986468,0.725,0.4,0.325,40,0.6271186470985413,0.0049747712910175,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,0
schaefer200x7,28,7Networks_LH_SomMot_14,L,0.5125983953475952,43.79631042480469,162.61549377441406,0.4719620410567453,0.875,0.65,0.225,40,0.6464646458625793,0.0183825958520174,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,7
schaefer200x7,29,7Networks_LH_SomMot_15,L,0.3636702001094818,39.60774612426758,108.70848846435548,-1.7059304344176245,0.6,0.225,0.375,40,0.6027397513389587,0.0320263095200061,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,22
schaefer200x7,30,7Networks_LH_SomMot_16,L,0.4008877575397491,41.74469375610352,129.07022094726562,-0.3776815602661604,0.825,0.375,0.45,40,0.7068965435028076,0.0050108535215258,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,2
