parcellation,parcel_index,gene_set,score_median,score_q1,score_q3,n_cells,n_genes_present,n_genes_frozen
schaefer200x7,1,endothelial,-0.23612374901970196,-0.27235181912672163,-0.17545145989458422,12,6,6
schaefer200x7,2,endothelial,0.778162060492393,0.5330153519558973,0.9725955347573283,12,6,6
schaefer200x7,3,endothelial,0.3251603922769001,0.1459250362059183,0.4205039831430635,12,6,6
schaefer200x7,4,endothelial,1.139337183433618,0.9773904742696242,1.243717786379456,12,6,6
schaefer200x7,5,endothelial,0.8433227101898124,0.6406543382760175,1.1300961595753416,12,6,6
schaefer200x7,6,endothelial,-0.6605095832947817,-0.7481732309207869,-0.6099498464081535,12,6,6
schaefer200x7,7,endothelial,1.3490081581461524,1.299029371028678,1.64241996896927,12,6,6
schaefer200x7,8,endothelial,0.8893103561532953,0.7633609087641617,1.1556116831728667,12,6,6
schaefer200x7,9,endothelial,2.344673891172509,1.3876160210215354,2.6677258205152548,12,6,6
schaefer200x7,10,endothelial,1.3454016531708723,1.186215144282809,1.4812769024227026,12,6,6
schaefer200x7,11,endothelial,-0.6477604474907206,-0.7831962810311703,-0.4265008599946889,12,6,6
schaefer200x7,12,endothelial,1.2196732276300013,1.0902443934333639,1.3541189253533783,12,6,6
schaefer200x7,13,endothelial,0.6638779535724612,0.599005720643784,0.8270022346805036,12,6,6
schaefer200x7,14,endothelial,1.1291945791490874,1.0014114838656059,1.6040482887407537,12,6,6
schaefer200x7,15,endothelial,-0.28061858701520304,-0.2960304431444425,-0.24560647403388802,12,6,6
schaefer200x7,16,endothelial,0.5497420444824673,0.4774645794716387,0.5945237021528471,12,6,6
schaefer200x7,17,endothelial,0.5721586786787121,0.44884805519635346,0.7272865863069446,12,6,6
schaefer200x7,18,endothelial,-0.25063741682957913,-0.27061796244890884,-0.17885583811452338,12,6,6
schaefer200x7,19,endothelial,0.18119203924467114,-0.04218512546851262,0.32970830745346225,12,6,6
schaefer200x7,20,endothelial,0.9260734891333797,0.7989456161473925,1.0176429874384723,12,6,6
schaefer200x7,21,endothelial,1.1643095379781085,1.0764516735654786,1.2537987774422332,12,6,6
schaefer200x7,22,endothelial,0.9419258571340452,0.8532888860902289,1.0011036647434217,12,6,6
schaefer200x7,23,endothelial,-0.23978277770621648,-0.27952607575563904,-0.15156901303724263,12,6,6
schaefer200x7,24,endothelial,0.6686723710714068,0.5331957274725666,0.7494155994576612,12,6,6
schaefer200x7,25,endothelial,-0.4557530813092644,-0.6486525392291188,-0.21484800187420328,12,6,6
schaefer200x7,26,endothelial,1.4829052100187514,1.380123028898447,1.5956677048249697,12,6,6
schaefer200x7,27,endothelial,0.10385427683343453,-0.05307201024487567,0.21362734566578803,12,6,6
schaefer200x7,28,endothelial,0.1606762556701886,-0.06759316339289967,0.29848161314536636,12,6,6
schaefer200x7,29,endothelial,0.31371832579071535,0.2502647408628996,0.3726463349501293,12,6,6
schaefer200x7,30,endothelial,0.8755790292231604,0.47123121055123485,1.2460838218555805,12,6,6
schaefer200x7,31,endothelial,-1.1341422782047652,-1.3001554333686753,-1.0566288826599939,12,6,6
schaefer200x7,32,endothelial,-0.6255006373998303,-0.6953974104364995,-0.5311779915642668,12,6,6
schaefer200x7,33,endothelial,0.8644282653819377,0.613318800299015,1.6169756345284634,12,6,6
schaefer200x7,34,endothelial,-0.5596103335020928,-0.7272515455002865,-0.4210494818894154,12,6,6
schaefer200x7,35,endothelial,-0.43949910929141356,-0.45793331332342935,-0.4009035862123872,12,6,6
schaefer200x7,36,endothelial,0.4488868517495195,0.3710889454872961,0.7116879768005947,12,6,6
schaefer200x7,37,endothelial,-0.2399279832787246,-0.4285294000654534,-0.10902761578390864,12,6,6
schaefer200x7,38,endothelial,-0.4105727026018827,-0.665990512222549,-0.00969403433433047,12,6,6
schaefer200x7,39,endothelial,-0.9598833279104277,-1.2673782179141604,-0.6831589594131274,12,6,6
schaefer200x7,40,endothelial,-1.5864642159308682,-1.666961499929877,-1.1629795586532132,12,6,6
